Unnamed: 0,time_sch,dest,url,time_act,orig,code,pass_load
637,2023-12-19 04:45:00,London,https://www.heathrow.com/arrivals/terminal-5/flight-details/BA058/19-12-2023,04:38,Cape Town,BA058,397
638,2023-12-19 04:50:00,London,https://www.heathrow.com/arrivals/terminal-5/flight-details/BA074/19-12-2023,04:33,Lagos,BA074,374
639,2023-12-19 04:55:00,London,https://www.heathrow.com/arrivals/terminal-3/flight-details/VS450/19-12-2023,19:58,Johannesburg,VS450,303
640,2023-12-19 05:00:00,London,https://www.heathrow.com/arrivals/terminal-5/flight-details/BA056/19-12-2023,04:41,Johannesburg,BA056,419
641,2023-12-19 05:05:00,London,https://www.heathrow.com/arrivals/terminal-3/flight-details/QF009/19-12-2023,05:16,Melbourne,QF009,350
642,2023-12-19 05:15:00,London,https://www.heathrow.com/arrivals/terminal-5/flight-details/BA262/19-12-2023,05:02,Riyadh,BA262,282
644,2023-12-19 05:25:00,London,https://www.heathrow.com/arrivals/terminal-4/flight-details/SV119/19-12-2023,05:05,Riyadh,SV119,303
643,2023-12-19 05:25:00,London,https://www.heathrow.com/arrivals/terminal-5/flight-details/BA016/19-12-2023,05:00,Sydney,BA016,287
646,2023-12-19 05:30:00,London,https://www.heathrow.com/arrivals/terminal-3/flight-details/CX251/19-12-2023,05:52,Hong Kong City,CX251,395
645,2023-12-19 05:30:00,London,https://www.heathrow.com/arrivals/terminal-5/flight-details/BA078/19-12-2023,04:54,Accra,BA078,297
647,2023-12-19 05:30:00,London,https://www.heathrow.com/arrivals/terminal-5/flight-details/BA012/19-12-2023,05:34,Singapore,BA012,287
648,2023-12-19 05:35:00,London,https://www.heathrow.com/arrivals/terminal-4/flight-details/MH002/19-12-2023,05:08,Kuala Lumpur,MH002,303
649,2023-12-19 05:40:00,London,https://www.heathrow.com/arrivals/terminal-5/flight-details/BA064/19-12-2023,05:08,Nairobi,BA064,248
650,2023-12-19 05:45:00,London,https://www.heathrow.com/arrivals/terminal-5/flight-details/BA032/19-12-2023,05:38,Hong Kong City,BA032,331
