code,time_sch,dest,time_act,commercial,orig,pass_load
7L 1148,2023-12-20 00:00:00,Baku,2023-12-20 00:06:00,0,HKG,383
CX 261,2023-12-20 00:05:00,Paris,2023-12-20 00:16:00,1,HKG,336
QR 8411,2023-12-20 00:05:00,Doha,2023-12-20 00:19:00,0,HKG,289
CX 2083,2023-12-20 00:05:00,HKG,2023-12-20 00:45:00,0,"Portland
Anchorage",292
MU 725,2023-12-20 00:15:00,HKG,2023-12-20 00:04:00,1,Shanghai/PVG,345
CX 289,2023-12-20 00:15:00,Frankfurt,2023-12-20 00:18:00,1,HKG,358
CX 880,2023-12-20 00:15:00,Los Angeles,2023-12-20 00:18:00,1,HKG,169
LD 681,2023-12-20 00:20:00,HKG,2023-12-20 00:32:00,0,Taipei,233
HX 313,2023-12-20 00:20:00,HKG,2023-12-20 00:19:00,1,Beijing/PEK,322
KZ 203,2023-12-20 00:25:00,HKG,2023-12-20 00:42:00,0,Tokyo/NRT,305
LD 392,2023-12-20 00:25:00,HKG,2023-12-20 00:04:00,0,Penang,352
CX 105,2023-12-20 00:25:00,Melbourne,2023-12-20 00:34:00,1,HKG,381
OZ 746,2023-12-20 00:30:00,Seoul/ICN,2023-12-20 00:30:00,1,HKG,343
UO 651,2023-12-20 00:30:00,HKG,2023-12-20 00:31:00,1,Tokyo/NRT,359
7C 2107,2023-12-20 00:30:00,HKG,2023-12-20 01:09:00,1,Seoul/ICN,224
QR 815,2023-12-20 00:30:00,Doha,2023-12-20 00:28:00,1,HKG,286
EK 381,2023-12-20 00:35:00,Dubai,2023-12-20 00:37:00,1,HKG,279
HB 262,2023-12-20 00:40:00,HKG,2023-12-20 00:10:00,1,Ho Chi Minh,287
NH 8511,2023-12-20 00:40:00,HKG,2023-12-20 00:23:00,0,Tokyo/NRT,347
CX 383,2023-12-20 00:40:00,Zurich,2023-12-20 01:20:00,1,HKG,261
KE 179,2023-12-20 00:40:00,HKG,2023-12-20 01:34:00,1,Seoul/ICN,310
LD 456,2023-12-20 00:45:00,HKG,2023-12-20 01:02:00,0,"Cebu
Manila",370
LD 129,2023-12-20 00:45:00,HKG,2023-12-20 01:45:00,0,Seoul/ICN,225
MM 067,2023-12-20 00:45:00,HKG,2023-12-20 00:59:00,1,Osaka/Kansai,226
KE 178,2023-12-20 00:55:00,Seoul/ICN,2023-12-20 01:20:00,1,HKG,349
UO 627,2023-12-20 00:55:00,HKG,2023-12-20 02:01:00,1,Seoul/ICN,255
CX 872,2023-12-20 00:55:00,San Francisco,2023-12-20 00:55:00,1,HKG,281
CX 097,2023-12-20 00:55:00,HKG,2023-12-20 00:45:00,0,"Felipe Angeles
Guadalajara
Anchorage",223
CX 888,2023-12-20 01:00:00,Vancouver,2023-12-20 01:11:00,1,HKG,337
LD 205,2023-12-20 01:00:00,HKG,2023-12-20 01:10:00,0,Osaka/Kansai,334
BR 6090,2023-12-20 01:00:00,Taipei,2023-12-20 01:21:00,0,HKG,331
CI 5835,2023-12-20 01:00:00,HKG,2023-12-20 03:11:00,0,Taipei,282
ES 728,2023-12-20 01:10:00,Bahrain,2023-12-20 01:15:00,0,HKG,228
LD 769,2023-12-20 01:10:00,HKG,2023-12-20 01:40:00,0,Beijing/PEK,278
LD 217,2023-12-20 01:15:00,HKG,2023-12-20 01:09:00,0,Nagoya,265
CX 006,2023-12-20 01:15:00,Tokyo/NRT,2023-12-20 01:27:00,0,HKG,293
CX 035,2023-12-20 01:15:00,HKG,2023-12-20 02:19:00,0,"Osaka/Kansai
Seoul/ICN",357
8K 525,2023-12-20 01:20:00,HKG,2023-12-20 01:30:00,0,"Bangkok
Hanoi",316
LD 562,2023-12-20 01:20:00,HKG,2023-12-20 01:36:00,0,Ho Chi Minh,293
KE 313,2023-12-20 01:20:00,HKG,2023-12-20 01:47:00,0,Seoul/ICN,308
LD 783,2023-12-20 01:25:00,HKG,2023-12-20 01:33:00,0,Shanghai/PVG,283
HX 611,2023-12-20 01:25:00,HKG,2023-12-20 01:49:00,1,Tokyo/NRT,280
CX 524,2023-12-20 01:25:00,Tokyo/NRT,2023-12-20 11:18:00,1,HKG,301
LD 842,2023-12-20 01:25:00,HKG,2023-12-20 01:27:00,0,Bangkok,300
LD 326,2023-12-20 01:25:00,HKG,2023-12-20 01:29:00,0,Singapore,348
BR 6537,2023-12-20 01:25:00,HKG,2023-12-20 02:36:00,0,Taipei,329
TH 3507,2023-12-20 01:30:00,HKG,2023-12-20 01:16:00,0,Subang,340
7C 2108,2023-12-20 01:30:00,Seoul/ICN,2023-12-20 02:25:00,1,HKG,302
TW 117,2023-12-20 01:30:00,HKG,2023-12-20 02:24:00,1,Seoul/ICN,234
LD 209,2023-12-20 01:30:00,HKG,2023-12-20 01:35:00,0,Tokyo/NRT,246
MM 068,2023-12-20 01:35:00,Osaka/Kansai,2023-12-20 02:00:00,1,HKG,281
GH 1186,2023-12-20 01:40:00,HKG,2023-12-20 01:00:00,0,Namangan,307
CX 048,2023-12-20 01:40:00,HKG,2023-12-20 01:36:00,0,"Dhaka
Hanoi",390
CX 566,2023-12-20 01:50:00,Osaka/Kansai,2023-12-20 01:53:00,1,HKG,327
HX 707,2023-12-20 01:55:00,Denpasar,2023-12-20 02:03:00,1,HKG,273
HX 285,2023-12-20 02:00:00,HKG,2023-12-20 01:41:00,1,Taipei,300
RH 829,2023-12-20 02:00:00,Shanghai/PVG,2023-12-20 14:45:00,0,HKG,346
RH 318,2023-12-20 02:00:00,HKG,2023-12-20 13:22:00,0,Hanoi,359
KE 180,2023-12-20 02:05:00,Seoul/ICN,2023-12-20 02:50:00,1,HKG,350
5Y 8766,2023-12-20 02:10:00,HKG,2023-12-21 03:28:00,0,"Los Angeles
Seoul/ICN",240
QR 8066,2023-12-20 02:15:00,HKG,2023-12-20 02:42:00,0,Doha,388
HX 606,2023-12-20 02:20:00,Tokyo/NRT,2023-12-20 02:13:00,1,HKG,261
EK 9823,2023-12-20 02:25:00,Dubai/DWC,2023-12-20 02:10:00,0,HKG,313
TW 118,2023-12-20 02:30:00,Seoul/ICN,2023-12-20 03:25:00,1,HKG,225
CX 2090,2023-12-20 02:30:00,"Los Angeles
Anchorage
Dallas FT.Worth",2023-12-20 02:52:00,0,HKG,323
7L 571,2023-12-20 02:30:00,HKG,2023-12-20 01:54:00,0,"Baku
Almaty",334
OZ 969,2023-12-20 02:35:00,HKG,2023-12-20 05:27:00,0,Seoul/ICN,180
HX 637,2023-12-20 02:35:00,HKG,2023-12-20 02:26:00,1,Osaka/Kansai,299
5X 004,2023-12-20 02:40:00,HKG,2023-12-20 02:46:00,0,"Philadelphia
Cologne
London/STN",272
CX 2022,2023-12-20 02:40:00,HKG,2023-12-20 03:37:00,0,"Sydney
Melbourne",323
NH 8512,2023-12-20 02:40:00,Tokyo/NRT,2023-12-20 02:45:00,0,HKG,223
KZ 202,2023-12-20 02:45:00,Tokyo/NRT,2023-12-20 03:04:00,0,HKG,396
WW 865,2023-12-20 02:50:00,HKG,2023-12-20 02:28:00,0,Kuching,292
HX 602,2023-12-20 02:50:00,Osaka/Kansai,2023-12-20 02:40:00,1,HKG,284
QY 548,2023-12-20 02:55:00,HKG,2023-12-20 03:16:00,0,"Leipzig
Delhi",350
ES 725,2023-12-20 02:55:00,HKG,2023-12-20 02:47:00,0,Bahrain,254
CI 5836,2023-12-20 03:00:00,Taipei,2023-12-20 04:54:00,0,HKG,379
RH 570,2023-12-20 03:00:00,Taipei,2023-12-20 03:07:00,0,HKG,235
LD 327,2023-12-20 03:20:00,Singapore,2023-12-20 03:51:00,0,HKG,274
LD 768,2023-12-20 03:20:00,Beijing/PEK,2023-12-20 03:24:00,0,HKG,346
CX 844,2023-12-20 03:20:00,New York/JFK,2023-12-20 04:29:00,1,HKG,324
