code,time_sch,dest,time_act,commercial,orig
CX 261,00:05,Paris,Dep 00:09,1,HKG
RH 358,00:05,"Almaty
Milan/MXP",Dep 07:08,0,HKG
CX 2035,00:10,HKG,At gate 23:55 (20/12/2023),0,"Osaka/Kansai
Taipei"
MU 725,00:15,HKG,At gate 00:29,1,Shanghai/PVG
CX 289,00:15,Frankfurt,Dep 00:17,1,HKG
CX 880,00:15,Los Angeles,Dep 00:17,1,HKG
HX 313,00:20,HKG,At gate 00:09,1,Beijing/PEK
LD 681,00:20,HKG,At gate 00:36,0,Taipei
CX 636,00:20,HKG,At gate 00:26,1,Singapore
KZ 203,00:25,HKG,At gate 01:06,0,Tokyo/NRT
CX 105,00:25,Melbourne,Dep 00:43,1,HKG
LD 392,00:25,HKG,At gate 00:09,0,Penang
UO 863,00:30,HKG,At gate 02:26,1,Osaka/Kansai
7C 2107,00:30,HKG,At gate 01:42,1,Seoul/ICN
UO 651,00:30,HKG,At gate 01:44,1,Tokyo/NRT
OZ 746,00:30,Seoul/ICN,Dep 01:39,1,HKG
QR 815,00:30,Doha,Dep 00:26,1,HKG
EK 381,00:35,Dubai,Dep 00:44,1,HKG
CX 3170,00:40,"Miami
Anchorage
Houston",Dep 02:35,0,HKG
KE 179,00:40,HKG,At gate 01:27,1,Seoul/ICN
LD 129,00:45,HKG,At gate 01:19,0,Seoul/ICN
LD 456,00:45,HKG,At gate 00:47,0,"Cebu
Manila"
MM 067,00:45,HKG,At gate 01:36,1,Osaka/Kansai
CX 233,00:50,Milan/MXP,Dep 00:52,1,HKG
CX 3069,00:55,HKG,At gate 12:54,0,"Felipe Angeles
Guadalajara
Anchorage"
KE 178,00:55,Seoul/ICN,Dep 02:04,1,HKG
UO 627,00:55,HKG,At gate 01:49,1,Seoul/ICN
EK 9278,00:55,HKG,At gate 00:47,0,Dubai
LD 205,01:00,HKG,At gate 01:14,0,Osaka/Kansai
GTR3935,01:00,"Nur-Sultan
Budapest",Dep 05:09,0,HKG
CI 5835,01:00,HKG,At gate 06:22,0,Taipei
CX 888,01:00,Vancouver,Dep 01:14,1,HKG
FX 9730,01:00,Anchorage,Dep 03:04,0,HKG
7C 2185,01:05,HKG,At gate 02:22,1,Jeju
LD 769,01:10,HKG,At gate 02:10,0,Beijing/PEK
CX 219,01:10,Manchester,Dep 01:17,1,HKG
ES 726,01:10,Bahrain,Dep 01:17,0,HKG
NH 8511,01:10,HKG,At gate 01:27,0,Tokyo/NRT
LD 217,01:15,HKG,At gate 01:26,0,Nagoya
CX 006,01:15,Tokyo/NRT,Dep 04:07,0,HKG
UO 693,01:15,HKG,At gate 02:40,1,Tokyo/NRT
8K 525,01:20,HKG,At gate 01:30,0,Hanoi
KE 313,01:20,HKG,At gate 01:55,0,Seoul/ICN
HX 763,01:20,Bangkok,Dep 01:18,1,HKG
LD 562,01:20,HKG,At gate 01:38,0,Ho Chi Minh
HX 611,01:25,HKG,At gate 02:31,1,Tokyo/NRT
BR 6535,01:25,HKG,At gate 01:36,0,Taipei
LD 842,01:25,HKG,At gate 01:15,0,Bangkok
LD 326,01:25,HKG,At gate 01:28,0,Singapore
CX 524,01:25,Tokyo/NRT,Dep 02:11,1,HKG
LD 783,01:25,HKG,At gate 01:48,0,Shanghai/PVG
7C 2108,01:30,Seoul/ICN,Dep 02:53,1,HKG
TW 117,01:30,HKG,At gate 03:02,1,Seoul/ICN
TH 3507,01:30,HKG,At gate 01:21,0,Subang
LD 209,01:30,HKG,At gate 01:58,0,Tokyo/NRT
MM 068,01:35,Osaka/Kansai,Dep 02:33,1,HKG
CV 7333,01:40,"Ashgabat
Budapest
Luxembourg",Dep 02:25,0,HKG
CX 566,01:50,Osaka/Kansai,Dep 02:03,1,HKG
HX 707,01:55,Denpasar,Dep 02:09,1,HKG
HX 285,02:00,HKG,At gate 01:54,1,Taipei
