time_sch,time_act,code,dest,stat,orig
06:00,06:00,HV 5641 Transavia,La Palma (SPC),DEPARTED,Amsterdam
06:00,06:10,HV 6457 Transavia,Las Palmas de Gran Canaria (LPA),DEPARTED,Amsterdam
06:05,06:16,HV 5071 Transavia,Tromso (TOS),DEPARTED,Amsterdam
06:20,06:20,HV 6731 Transavia,Sevilla (SVQ),DEPARTED,Amsterdam
06:30,06:47,HV 5355 Transavia,Faro (FAO),DEPARTED,Amsterdam
06:30,06:30,HV 6901 Transavia,Dubai International (DXB),DEPARTED,Amsterdam
06:40,06:56,HV 6591 Transavia,Salzburg (SZG),DEPARTED,Amsterdam
06:45,07:01,HV 5581 Transavia,Nice (NCE),DEPARTED,Amsterdam
06:45,06:45,KL 1141 KLM,Oslo (OSL),DEPARTED,Amsterdam
06:45,06:45,KL 1165 KLM,Helsinki (HEL),CANCELLED,Amsterdam
06:50,07:20,HV 6115 Transavia,Malaga (AGP),DEPARTED,Amsterdam
06:50,06:50,HV 6143 Transavia,Alicante (ALC),DEPARTED,Amsterdam
06:50,06:50,KL 1223 KLM,Paris de Gaulle (CDG),CANCELLED,Amsterdam
06:50,07:17,KL 1853 KLM,Dusseldorf (DUS),DEPARTED,Amsterdam
06:50,06:50,KL 1953 KLM,Zurich (ZRH),DEPARTED,Amsterdam
06:55,07:39,KL 1105 KLM,Stockholm (ARN),DEPARTED,Amsterdam
06:55,06:55,KL 1777 KLM,Hamburg (HAM),CANCELLED,Amsterdam
06:55,06:55,KL 1925 KLM,Geneva (GVA),CANCELLED,Amsterdam
07:00,07:00,EJU 7817 easyJet Europe,Venice (VCE),DEPARTED,Amsterdam
07:00,07:37,HV 5131 Transavia,Barcelona (BCN),DEPARTED,Amsterdam
07:00,07:34,HV 6609 Transavia,Innsbruck (INN),DEPARTED,Amsterdam
07:00,07:00,KL 1597 KLM,Rome (FCO),CANCELLED,Amsterdam
07:00,07:10,LO 270 LOT Polish Airlines,Warsaw (WAW),DEPARTED,Amsterdam
07:00,07:00,LX 737 Swiss International Airlines,Zurich (ZRH),CANCELLED,Amsterdam
07:00,07:11,TP 675 TAP Air Portugal,Lisbon (LIS),DEPARTED,Amsterdam
07:00,07:00,VY 8308 Vueling,Barcelona (BCN),DEPARTED,Amsterdam
07:00,07:16,VY 8364 Vueling,Malaga (AGP),DEPARTED,Amsterdam
07:05,07:50,AZ 119 ITA Airways,Milan Linate (LIN),DEPARTED,Amsterdam
07:05,07:27,BA 423 British Airways,London Heathrow (LHR),DEPARTED,Amsterdam
07:05,07:05,EJU 8672 easyJet Europe,London Gatwick (LGW),DEPARTED,Amsterdam
07:05,08:08,KL 981 KLM,London City (LCY),DEPARTED,Amsterdam
