time_sch,time_act,code,dest,stat,orig,pass_load,time_diff
2023-12-22 00:00:00,2023-12-22 00:00:00,HV 6728 Transavia,Amsterdam,BAGGAGE HANDLED,Sevilla (SVQ),296,0.0
2023-12-22 00:00:00,2023-12-22 00:35:00,HV 5956 Transavia,Amsterdam,BAGGAGE HANDLED,Lisbon (LIS),244,2100.0
2023-12-22 00:05:00,2023-12-22 00:42:00,HV 6110 Transavia,Amsterdam,BAGGAGE HANDLED,Malaga (AGP),276,2220.0
2023-12-22 00:05:00,2023-12-22 00:33:00,OR 3721 TUI fly,Amsterdam,BAGGAGE HANDLED,Sao Vicente Island (VXE),245,1680.0
2023-12-22 00:10:00,2023-12-22 00:37:00,HV 6872 Transavia,Amsterdam,BAGGAGE HANDLED,Heraklion (HER),292,1620.0
2023-12-22 00:15:00,2023-12-22 00:57:00,HV 5752 Transavia,Amsterdam,BAGGAGE HANDLED,Marrakech (RAK),397,2520.0
2023-12-22 00:15:00,2023-12-22 00:45:00,HV 6110 Transavia,Amsterdam,BAGGAGE HANDLED,Malaga (AGP),374,1800.0
2023-12-22 00:20:00,2023-12-22 00:35:00,HV 6864 Transavia,Amsterdam,BAGGAGE HANDLED,Athens (ATH),359,900.0
2023-12-22 00:20:00,2023-12-22 00:20:00,HV 5662 Transavia,Amsterdam,BAGGAGE HANDLED,Las Palmas de Gran Canaria (LPA),335,0.0
2023-12-22 00:25:00,2023-12-22 00:25:00,HV 5136 Transavia,Amsterdam,BAGGAGE HANDLED,Barcelona (BCN),233,0.0
2023-12-22 00:35:00,2023-12-22 00:56:00,HV 6674 Transavia,Amsterdam,BAGGAGE HANDLED,Tenerife (TFS),244,1260.0
2023-12-22 00:35:00,2023-12-22 01:56:00,HV 5686 Transavia,Amsterdam,BAGGAGE HANDLED,Arrecife (ACE),329,4860.0
2023-12-22 00:35:00,2023-12-22 01:20:00,HV 6672 Transavia,Amsterdam,BAGGAGE HANDLED,Tenerife (TFS),303,2700.0
2023-12-22 00:40:00,2023-12-22 01:05:00,HV 6706 Transavia,Amsterdam,BAGGAGE HANDLED,Fuerteventura (FUE),419,1500.0
